setting,composition,task_order,round,metric,n_runs_total,n_runs_defined,mean,sd
dyad,Sonnet+Sonnet,myth_game,10,send,5,5,0.6348,0.163875562546708
dyad,Gemini+Gemini,myth_game,1,send,5,5,1.0,0.0
dyad,Gemini+Gemini,myth_game,2,send,5,5,1.0,0.0
dyad,Gemini+Gemini,myth_game,3,send,5,5,1.0,0.0
dyad,Gemini+Gemini,myth_game,4,send,5,5,1.0,0.0
dyad,Gemini+Gemini,myth_game,5,send,5,5,1.0,0.0
dyad,Gemini+Gemini,myth_game,6,send,5,5,1.0,0.0
dyad,Gemini+Gemini,myth_game,7,send,5,5,1.0,0.0
dyad,Gemini+Gemini,myth_game,8,send,5,5,1.0,0.0
dyad,Gemini+Gemini,myth_game,9,send,5,5,1.0,0.0
dyad,Gemini+Gemini,myth_game,10,send,5,5,1.0,0.0
dyad,GPT+GPT,myth_game,1,send,5,5,0.56,0.35777087639996635
dyad,GPT+GPT,myth_game,2,send,5,5,0.4508,0.3675475479444802
dyad,GPT+GPT,myth_game,3,send,5,5,0.6104,0.1604393966580528
dyad,GPT+GPT,myth_game,4,send,5,5,0.7071999999999999,0.24863064975983953
dyad,GPT+GPT,myth_game,5,send,5,5,0.8,0.282842712474619
dyad,GPT+GPT,myth_game,6,send,5,5,0.792,0.2644957466576731
dyad,GPT+GPT,myth_game,7,send,5,5,0.82,0.24899799195977465
dyad,GPT+GPT,myth_game,8,send,5,5,0.78,0.2588435821108957
dyad,GPT+GPT,myth_game,9,send,5,5,0.72,0.4381780460041329
dyad,GPT+GPT,myth_game,10,send,5,5,0.6872,0.4372861763193527
population,1 Gemini + 7 GPT,game,1,send,5,5,0.15,0.13693063937629155
population,1 Gemini + 7 GPT,game,2,send,5,5,0.06999999999999999,0.10954451150103321
population,1 Gemini + 7 GPT,game,3,send,5,5,0.0,0.0
population,1 Gemini + 7 GPT,game,4,send,5,5,0.0,0.0
population,1 Gemini + 7 GPT,game,5,send,5,5,0.0,0.0
population,1 Gemini + 7 GPT,game,6,send,5,5,0.0,0.0
population,1 Gemini + 7 GPT,game,7,send,5,5,0.0,0.0
population,1 Gemini + 7 GPT,game,8,send,5,5,0.0,0.0
population,1 Gemini + 7 GPT,game,9,send,5,5,0.0,0.0
population,1 Gemini + 7 GPT,game,10,send,5,5,0.0,0.0
population,2 Gemini + 6 GPT,game,1,send,5,5,0.45999999999999996,0.2133072900770154
population,2 Gemini + 6 GPT,game,2,send,5,5,0.21000000000000002,0.2133072900770154
population,2 Gemini + 6 GPT,game,3,send,5,5,0.05,0.11180339887498951
population,2 Gemini + 6 GPT,game,4,send,5,5,0.15,0.22360679774997896
population,2 Gemini + 6 GPT,game,5,send,5,5,0.1,0.22360679774997902
population,2 Gemini + 6 GPT,game,6,send,5,5,0.15,0.22360679774997896
