model,num_agents,population,condition,condition_label,treatment,treatment_label,receiver_scope,round,metric,n_runs,mean,ci_low,ci_high
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,8,return_proportion,2,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,8,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,8,forced_receiver_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,9,return_proportion,2,0.25,-2.926551184108024,3.426551184108024
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,9,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,9,forced_receiver_rate,5,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,10,return_proportion,1,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,10,zero_receipt_rate,5,0.8,0.24471097896044036,1.3552890210395598
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,ordinary,10,forced_receiver_rate,5,0.2,-0.3552890210395599,0.75528902103956
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,1,return_proportion,3,0.24074074074074073,-0.2817477919704193,0.7632292734519007
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,1,zero_receipt_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,1,forced_receiver_rate,5,0.2,-0.3552890210395599,0.75528902103956
