fe,setting,role,model,predictor,level,coef,ci_low,ci_high,p,n_decisions,n_runs
agent,8-agent homogeneous,investor,placebo: co-player's unseen label,own_label,be generous,0.016196249825589384,-0.016471274029492673,0.04886377368067144,0.33118407477510325,879,30
agent,8-agent homogeneous,investor,placebo: co-player's unseen label,coop_lag_same_role,,-0.2261499464606483,-0.3677476823926834,-0.08455221052861317,0.0017461796753749346,879,30
agent,8-agent homogeneous,trustee,"own + shown label, own lag",own_label,be cautious,0.01685230122673283,-0.03205304765265046,0.06575765010611613,0.49943165525555777,754,30
agent,8-agent homogeneous,trustee,"own + shown label, own lag",own_label,be generous,0.003071625826808247,-0.012770601914400421,0.018913853568016916,0.7039346638748849,754,30
agent,8-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be cautious,-0.023044486884102492,-0.07194231609826927,0.025853342330064293,0.3556485019409882,754,30
agent,8-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be generous,0.0025906642903684276,-0.006683505489567881,0.011864834070304735,0.5840352148825846,754,30
agent,8-agent homogeneous,trustee,"own + shown label, own lag",coop_lag_same_role,,-0.3077308095409315,-0.5474739286218973,-0.06798769045996578,0.011876878896662833,754,30
agent,8-agent homogeneous,trustee,"own + shown label, no lag",own_label,be cautious,0.021428317385055313,-0.040923009315769296,0.08377964408587991,0.500577110445878,850,30
agent,8-agent homogeneous,trustee,"own + shown label, no lag",own_label,be generous,0.00484149926215317,-0.009211506969050959,0.0188945054933573,0.49952274297948884,850,30
agent,8-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be cautious,-0.010657064156750972,-0.06662336805068904,0.04530923973718709,0.7089884620219418,850,30
agent,8-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be generous,0.0014544763819578576,-0.010725992293839892,0.013634945057755607,0.8149536426141659,850,30
agent,8-agent mixed,investor,"own + shown label, own lag",own_label,be cautious,-0.00978507951110344,-0.06660089188687882,0.04703073286467193,0.7356993293328147,1920,60
agent,8-agent mixed,investor,"own + shown label, own lag",own_label,be generous,0.011077082047603805,-0.02120125560147245,0.04335541969668006,0.5011964400008211,1920,60
agent,8-agent mixed,investor,"own + shown label, own lag",shown_label,be cautious,-0.026188632235200283,-0.09402546379740927,0.04164819932700871,0.44925924727310806,1920,60
agent,8-agent mixed,investor,"own + shown label, own lag",shown_label,be generous,-0.0010153696062380289,-0.03477949936787387,0.032748760155397814,0.9529991891126101,1920,60
agent,8-agent mixed,investor,"own + shown label, own lag",coop_lag_same_role,,-0.10991721048691137,-0.1935717070523949,-0.026262713921427844,0.010015889230566542,1920,60
agent,8-agent mixed,investor,"own + shown label, no lag",own_label,be cautious,-0.002158645413004527,-0.06026605430599104,0.05594876347998198,0.9419563980945755,2040,60
agent,8-agent mixed,investor,"own + shown label, no lag",own_label,be generous,0.018863798976767966,-0.013867639630896447,0.05159523758443238,0.25865854645021746,2040,60
agent,8-agent mixed,investor,"own + shown label, no lag",shown_label,be cautious,-0.024543461619478797,-0.08676212239940292,0.03767519916044533,0.43943415281886367,2040,60
agent,8-agent mixed,investor,"own + shown label, no lag",shown_label,be generous,-0.00037788741279064925,-0.0337504537546306,0.0329946789290493,0.9822938017152583,2040,60
agent,8-agent mixed,investor,placebo: co-player's unseen label,coplayer_label,be cautious,-0.06281622500665268,-0.1291147654168482,0.00348231540354281,0.06330868820346376,1758,60
agent,8-agent mixed,investor,placebo: co-player's unseen label,coplayer_label,be generous,0.025361425590535714,-0.014329581724772656,0.06505243290584409,0.21043824834161062,1758,60
agent,8-agent mixed,investor,placebo: co-player's unseen label,own_label,be cautious,-0.025369548109980655,-0.08484504947073954,0.03410595325077823,0.40313710681325876,1758,60
agent,8-agent mixed,investor,placebo: co-player's unseen label,own_label,be generous,-0.003170063130474992,-0.03823020699453296,0.03189008073358297,0.8593389275666479,1758,60
agent,8-agent mixed,investor,placebo: co-player's unseen label,coop_lag_same_role,,-0.10933145433904232,-0.19953109635387456,-0.01913181232421006,0.01751652686495478,1758,60
agent,8-agent mixed,trustee,"own + shown label, own lag",own_label,be cautious,-0.003144662104250011,-0.026107208726000333,0.01981788451750031,0.788382156585247,1596,60
agent,8-agent mixed,trustee,"own + shown label, own lag",own_label,be generous,0.00498325238179782,-0.004997532087887302,0.014964036851482941,0.32778758850617795,1596,60
agent,8-agent mixed,trustee,"own + shown label, own lag",shown_label,be cautious,0.0004555377788147217,-0.01676682292868488,0.017677898486314327,0.9586547736787082,1596,60
agent,8-agent mixed,trustee,"own + shown label, own lag",shown_label,be generous,0.0017313067801628598,-0.0077765896128710755,0.011239203173196795,0.7211721253642855,1596,60
agent,8-agent mixed,trustee,"own + shown label, own lag",coop_lag_same_role,,-0.02868279080411554,-0.09052627969560038,0.033160698087369295,0.3633372755533405,1596,60
