size,composition,family,partner_family,group,round,p_reads_as_partner_mean,p_reads_as_partner_sd,n_myths
8,2 GPT + 6 Sonnet,GPT,Sonnet,homogeneous,2,0.020352950120556493,0.012417366210997276,80
8,2 GPT + 6 Sonnet,GPT,Sonnet,homogeneous,3,0.015621551539230935,0.010106382561629514,80
8,2 GPT + 6 Sonnet,GPT,Sonnet,homogeneous,4,0.014301676436189717,0.010250310705291352,80
8,2 GPT + 6 Sonnet,GPT,Sonnet,homogeneous,5,0.011896378792283245,0.0060708192027973075,80
8,2 GPT + 6 Sonnet,GPT,Sonnet,homogeneous,6,0.010822523980197512,0.006095729790687822,80
8,2 GPT + 6 Sonnet,GPT,Sonnet,homogeneous,7,0.011391937464474127,0.006159045465969658,80
8,2 GPT + 6 Sonnet,GPT,Sonnet,homogeneous,8,0.01106439282695831,0.006520325117662742,80
8,2 GPT + 6 Sonnet,GPT,Sonnet,homogeneous,9,0.011203169762462387,0.006876620091124378,80
8,2 GPT + 6 Sonnet,GPT,Sonnet,homogeneous,10,0.01194076484465181,0.007817813026763298,80
8,2 GPT + 6 Sonnet,Sonnet,GPT,mixed,1,0.03013335651641834,0.023065100042368177,60
8,2 GPT + 6 Sonnet,Sonnet,GPT,mixed,2,0.031577869317177064,0.022850377243204666,60
8,2 GPT + 6 Sonnet,Sonnet,GPT,mixed,3,0.025716600513379213,0.02705156549972286,60
8,2 GPT + 6 Sonnet,Sonnet,GPT,mixed,4,0.02394112135784355,0.03866074356452529,60
8,2 GPT + 6 Sonnet,Sonnet,GPT,mixed,5,0.017044145629852896,0.01470425058094155,60
8,2 GPT + 6 Sonnet,Sonnet,GPT,mixed,6,0.012804587441218722,0.009197032174745214,60
8,2 GPT + 6 Sonnet,Sonnet,GPT,mixed,7,0.012465370028453339,0.009153670299859272,60
8,2 GPT + 6 Sonnet,Sonnet,GPT,mixed,8,0.012078184585924264,0.01215192426564275,60
8,2 GPT + 6 Sonnet,Sonnet,GPT,mixed,9,0.010203710428325545,0.007418919834184038,60
8,2 GPT + 6 Sonnet,Sonnet,GPT,mixed,10,0.011571476030327429,0.009306933433865695,60
8,2 GPT + 6 Sonnet,Sonnet,GPT,homogeneous,1,0.03652244875692282,0.024953168799104405,80
8,2 GPT + 6 Sonnet,Sonnet,GPT,homogeneous,2,0.02924864673205136,0.020964374181502394,80
8,2 GPT + 6 Sonnet,Sonnet,GPT,homogeneous,3,0.019550710766850624,0.014934373001349838,80
8,2 GPT + 6 Sonnet,Sonnet,GPT,homogeneous,4,0.015744021460804027,0.010420160582941974,80
8,2 GPT + 6 Sonnet,Sonnet,GPT,homogeneous,5,0.011957411156286875,0.008070846359798925,80
8,2 GPT + 6 Sonnet,Sonnet,GPT,homogeneous,6,0.011293417443488541,0.006273959215364531,80
8,2 GPT + 6 Sonnet,Sonnet,GPT,homogeneous,7,0.012732195753245693,0.009772037815869241,80
