setting,task_order,direction,outcome,n_games,n_runs,slope_per_0.1,ci_low,ci_high,p,sd_x_within_run
"8-agent mixed, cross family",myth_game,myths after the game,giving_gap,431,30,0.017830277865032437,-0.0018170816790064076,0.03747763740907128,0.07528942649984136,0.07262935469978256
"8-agent mixed, same family",game_myth,myths before the game,sent_frac,654,30,0.04511867513944573,0.011736013036775766,0.07850133724211568,0.008072813920195245,0.0737962767073402
"8-agent mixed, same family",game_myth,myths before the game,return_proportion,548,30,0.0070422661593253335,-0.002073245453805758,0.016157777772456427,0.12997844963733138,0.07709361594578198
"8-agent mixed, same family",game_myth,myths before the game,giving_gap,548,30,0.016666532437048114,-0.006015116870314994,0.03934818174441123,0.14981466411283106,0.07709361594578198
"8-agent mixed, same family",game_myth,myths after the game,sent_frac,716,30,0.06476363005413782,0.032778623094670965,0.09674863701360469,7.230860152619809e-05,0.0723964915151141
"8-agent mixed, same family",game_myth,myths after the game,return_proportion,580,30,0.004390125670085995,-0.0026816617927454185,0.01146191313291741,0.22370522567472628,0.07613073307815833
"8-agent mixed, same family",game_myth,myths after the game,giving_gap,580,30,0.02089849442018801,0.00237964792234813,0.03941734091802789,0.02697932360648994,0.07613073307815833
"8-agent mixed, same family",myth_game,myths before the game,sent_frac,716,30,0.015846978379947346,-0.01977059412844385,0.051464550888338546,0.38319331145416824,0.07164266363797443
"8-agent mixed, same family",myth_game,myths before the game,return_proportion,655,30,0.00191716160996472,-0.008134814379124016,0.011969137599053456,0.708542824613991,0.07252436482732588
"8-agent mixed, same family",myth_game,myths before the game,giving_gap,655,30,0.019630687763633196,-0.00013136461709023495,0.039392740144356626,0.05154246991168854,0.07252436482732588
"8-agent mixed, same family",myth_game,myths after the game,sent_frac,638,30,-0.03122698943044332,-0.060040596591417306,-0.002413382269469333,0.03365948561540963,0.06854168501970152
"8-agent mixed, same family",myth_game,myths after the game,return_proportion,579,30,0.0019395568602310427,-0.009263607428501235,0.013142721148963322,0.7343684163834346,0.06959000322276478
"8-agent mixed, same family",myth_game,myths after the game,giving_gap,579,30,-0.008166094731558453,-0.030019566453543728,0.01368737699042682,0.46393091207617476,0.06959000322276478
2-agent homogeneous,both orders,myths before the game,sent_frac,285,30,0.05170976173961078,-0.015818545847487243,0.11923806932670883,0.13339662246704642,0.0522857300877586
2-agent homogeneous,both orders,myths before the game,return_proportion,280,30,0.003071163621473839,-0.01002196399904499,0.016164291241992666,0.6457063857139893,0.05098246795849007
2-agent homogeneous,both orders,myths before the game,giving_gap,280,30,0.022551643581757975,-0.0043519598680381915,0.04945524703155414,0.10039993995771335,0.05098246795849007
2-agent homogeneous,both orders,myths after the game,sent_frac,285,30,0.08568327499218924,0.031001824781552667,0.1403647252028258,0.002132203606179466,0.047298558619053105
2-agent homogeneous,both orders,myths after the game,return_proportion,276,30,0.004216273494503431,-0.009508641270626015,0.017941188259632878,0.5471088830621267,0.04452076980077725
2-agent homogeneous,both orders,myths after the game,giving_gap,276,30,0.009696378567273418,-0.017527875663334202,0.03692063279788104,0.48513071662115304,0.04452076980077725
2-agent mixed,both orders,myths before the game,sent_frac,341,36,-0.0006094576838604873,-0.026192927324205986,0.02497401195648501,0.962759586679556,0.07398223563175137
2-agent mixed,both orders,myths before the game,return_proportion,340,36,-0.004597700496225843,-0.022585116569175775,0.013389715576724089,0.6163855240858922,0.07408598207571121
2-agent mixed,both orders,myths before the game,giving_gap,340,36,0.00891978243259442,-0.011017817689245469,0.02885738255443431,0.38056354918601143,0.07408598207571121
2-agent mixed,both orders,myths after the game,sent_frac,341,36,0.019243875141322763,-0.013028392923533208,0.051516143206178734,0.24251574859601222,0.07225056550519876
2-agent mixed,both orders,myths after the game,return_proportion,335,36,-0.001389657412694739,-0.01979284145784191,0.017013526632452432,0.8823424577203782,0.07095789549828163
2-agent mixed,both orders,myths after the game,giving_gap,335,36,1.7157856580015708e-05,-0.020706237742284552,0.020740553455444583,0.9987052376038692,0.07095789549828163
8-agent homogeneous,both orders,myths before the game,sent_frac,1140,30,-0.01103066363830731,-0.02939711054619598,0.007335783269581367,0.2391434530320029,0.07315651297955843
8-agent homogeneous,both orders,myths before the game,return_proportion,963,30,0.0007290705472516061,-0.006205312658398758,0.0076634537529019706,0.836738072120978,0.07690042874953096
8-agent homogeneous,both orders,myths before the game,giving_gap,963,30,0.01127833281690397,0.0004636974618011075,0.022092968172006833,0.04095344245486288,0.07690042874953096
8-agent homogeneous,both orders,myths after the game,sent_frac,1140,30,0.0035734650440615357,-0.010234752122182444,0.017381682210305515,0.6119974720872132,0.07159506748233366
8-agent homogeneous,both orders,myths after the game,return_proportion,959,30,-0.0007171916881931642,-0.00520076100747853,0.0037663776310922015,0.7538888090330611,0.07527292439077105
8-agent homogeneous,both orders,myths after the game,giving_gap,959,30,0.005634473423106882,-0.0033867323209804076,0.014655679167194173,0.2208933070191943,0.07527292439077105
"8-agent mixed, cross family",both orders,myths before the game,sent_frac,910,60,0.008649452723647416,-0.012369227993433035,0.02966813344072787,0.4199258206867674,0.07378632289002036
"8-agent mixed, cross family",both orders,myths before the game,return_proportion,866,60,-0.0021111393039506448,-0.00907880486455597,0.00485652625665468,0.5526115978876975,0.07383184558227165
"8-agent mixed, cross family",both orders,myths before the game,giving_gap,866,60,0.001916512205692395,-0.010584276285759382,0.01441730069714417,0.7638075127867944,0.07383184558227165
"8-agent mixed, cross family",both orders,myths after the game,sent_frac,926,60,0.021877070031552957,-0.0006441119943068841,0.044398252057412796,0.056922105030159806,0.07303412459626507
"8-agent mixed, cross family",both orders,myths after the game,return_proportion,856,60,-0.005316888516878688,-0.014759399841388923,0.004125622807631548,0.26975959017937134,0.07314653789430657
"8-agent mixed, cross family",both orders,myths after the game,giving_gap,856,60,0.006592386999958422,-0.00826708527801008,0.021451859277926925,0.3845542099800261,0.07314653789430657
"8-agent mixed, same family",both orders,myths before the game,sent_frac,1370,60,0.02706496877284132,0.002641091987960978,0.051488845557721666,0.02986275535431138,0.07265207929921959
"8-agent mixed, same family",both orders,myths before the game,return_proportion,1203,60,0.004446520905620885,-0.0020450307723387964,0.010938072583580566,0.1794283048987475,0.07460908784435463
"8-agent mixed, same family",both orders,myths before the game,giving_gap,1203,60,0.015923444959461085,0.0014613100372297518,0.030385579881692416,0.030927340066962433,0.07460908784435463
"8-agent mixed, same family",both orders,myths after the game,sent_frac,1354,60,0.010780788529270509,-0.014343012238625764,0.03590458929716678,0.400329186396156,0.0705804114665193
"8-agent mixed, same family",both orders,myths after the game,return_proportion,1159,60,0.003105895815870485,-0.0031567919568688723,0.009368583588609843,0.3310416974838968,0.0729050514226875
"8-agent mixed, same family",both orders,myths after the game,giving_gap,1159,60,0.010060327263956661,-0.004280561962998257,0.02440121649091158,0.16914968207574543,0.0729050514226875
