fe,setting,role,model,predictor,level,coef,ci_low,ci_high,p,n_decisions,n_runs
run,8-agent homogeneous,investor,"own + shown label, no lag",own_label,be generous,0.011816680839056813,-0.006813001505651714,0.03044636318376534,0.21379715312573766,1020,30
run,8-agent homogeneous,investor,"own + shown label, no lag",shown_label,be cautious,0.02424430352090148,-0.07870740223952467,0.12719600928132763,0.6443998638631971,1020,30
run,8-agent homogeneous,investor,"own + shown label, no lag",shown_label,be generous,-0.008617071703682325,-0.022642106424895364,0.005407963017530713,0.2285066825341473,1020,30
run,8-agent homogeneous,investor,placebo: co-player's unseen label,coplayer_label,be cautious,-0.024313840939132376,-0.09671903694052589,0.04809135506226114,0.510434891992917,879,30
run,8-agent homogeneous,investor,placebo: co-player's unseen label,coplayer_label,be generous,0.010375180325437442,-0.006684674255954225,0.02743503490682911,0.23326967802596354,879,30
run,8-agent homogeneous,investor,placebo: co-player's unseen label,own_label,be cautious,-0.026014206467344137,-0.051856577419131855,-0.0001718355155564226,0.048495959677276115,879,30
run,8-agent homogeneous,investor,placebo: co-player's unseen label,own_label,be generous,0.016795223187663688,-0.004862160761459455,0.03845260713678683,0.12852479800751887,879,30
run,8-agent homogeneous,investor,placebo: co-player's unseen label,coop_lag_same_role,,0.03226377398023279,-0.040646485066075475,0.10517403302654106,0.38577189175543347,879,30
run,8-agent homogeneous,trustee,"own + shown label, own lag",own_label,be cautious,0.014297362716011838,-0.037903028992659946,0.06649775442468363,0.5913906090835455,754,30
run,8-agent homogeneous,trustee,"own + shown label, own lag",own_label,be generous,0.0060080481632648905,-0.0038832491861749566,0.01589934551270474,0.2338511800434241,754,30
run,8-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be cautious,0.013230826118430657,-0.021308336795091233,0.047769989031952544,0.45277408964789445,754,30
run,8-agent homogeneous,trustee,"own + shown label, own lag",shown_label,be generous,0.005117954385400352,-0.0023152733657596453,0.01255118213656035,0.17718223188228277,754,30
run,8-agent homogeneous,trustee,"own + shown label, own lag",coop_lag_same_role,,0.02735675815818999,-0.15006088571399978,0.20477440203037978,0.7624882239958473,754,30
run,8-agent homogeneous,trustee,"own + shown label, no lag",own_label,be cautious,0.015380333712167628,-0.019676352404743046,0.0504370198290783,0.38984958198454134,850,30
run,8-agent homogeneous,trustee,"own + shown label, no lag",own_label,be generous,0.007241894847418847,-0.0018891669350011627,0.016372956629838856,0.1200751803083326,850,30
run,8-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be cautious,0.018410096559278406,-0.017434183701474124,0.05425437682003094,0.3140965403553292,850,30
run,8-agent homogeneous,trustee,"own + shown label, no lag",shown_label,be generous,0.0044941267853065014,-0.0028505905124287184,0.01183884408304172,0.2304215194085224,850,30
run,8-agent mixed,investor,"own + shown label, own lag",own_label,be cautious,-0.002095569310141796,-0.05175743867912187,0.04756630005883829,0.9340868220815763,1920,60
run,8-agent mixed,investor,"own + shown label, own lag",own_label,be generous,0.05116752124449803,0.016473324942985444,0.08586171754601063,0.0038452639647322253,1920,60
run,8-agent mixed,investor,"own + shown label, own lag",shown_label,be cautious,-0.03295180625256332,-0.08207725121079322,0.016173638705666585,0.18861669411155302,1920,60
run,8-agent mixed,investor,"own + shown label, own lag",shown_label,be generous,-0.0054385043541464,-0.03441977475055495,0.023542766042262155,0.7130233619066126,1920,60
run,8-agent mixed,investor,"own + shown label, own lag",coop_lag_same_role,,0.1288472035181233,0.06303482726944135,0.19465957976680523,0.0001244402829447693,1920,60
run,8-agent mixed,investor,"own + shown label, no lag",own_label,be cautious,-0.006715135569578527,-0.05801736649576081,0.044587095356603754,0.7975286376536445,2040,60
run,8-agent mixed,investor,"own + shown label, no lag",own_label,be generous,0.07669679715215671,0.041190156482894605,0.11220343782141882,2.299208934194491e-05,2040,60
run,8-agent mixed,investor,"own + shown label, no lag",shown_label,be cautious,-0.028726281156712392,-0.07565108504747098,0.018198522734046187,0.23019966662584102,2040,60
run,8-agent mixed,investor,"own + shown label, no lag",shown_label,be generous,-0.012533284510603124,-0.04188521952851108,0.016818650507304835,0.4026458724933153,2040,60
run,8-agent mixed,investor,placebo: co-player's unseen label,coplayer_label,be cautious,-0.033109095725344546,-0.08253344891268434,0.016315257461995247,0.1891934515605591,1758,60
run,8-agent mixed,investor,placebo: co-player's unseen label,coplayer_label,be generous,0.06759455786441602,0.039888721586154564,0.09530039414267749,1.7375959874519474e-06,1758,60
run,8-agent mixed,investor,placebo: co-player's unseen label,own_label,be cautious,-0.013880358360710249,-0.0667902404009772,0.03902952367955669,0.6071288007924395,1758,60
run,8-agent mixed,investor,placebo: co-player's unseen label,own_label,be generous,0.05221894104267392,0.015199703226100321,0.08923817885924751,0.00569744276334695,1758,60
run,8-agent mixed,investor,placebo: co-player's unseen label,coop_lag_same_role,,0.1317263975732272,0.06492450945015611,0.19852828569629832,0.00011115941476091059,1758,60
run,8-agent mixed,trustee,"own + shown label, own lag",own_label,be cautious,-0.008294208580665652,-0.02329274854397118,0.0067043313826398755,0.27842591420922225,1596,60
run,8-agent mixed,trustee,"own + shown label, own lag",own_label,be generous,0.017056177109463833,0.007795284280708411,0.026317069938219254,0.0003064941751052604,1596,60
run,8-agent mixed,trustee,"own + shown label, own lag",shown_label,be cautious,-0.008470285682059436,-0.022181414753317197,0.005240843389198327,0.22597151172316077,1596,60
run,8-agent mixed,trustee,"own + shown label, own lag",shown_label,be generous,-0.003473491577018442,-0.011676448935823898,0.004729465781787014,0.4065757433720939,1596,60
run,8-agent mixed,trustee,"own + shown label, own lag",coop_lag_same_role,,0.18021432991261171,0.11413675255542799,0.24629190726979544,9.019864563242321e-08,1596,60
run,8-agent mixed,trustee,"own + shown label, no lag",own_label,be cautious,-0.004404767468150129,-0.019730248719334875,0.010920713783034618,0.573215424602429,1861,60
run,8-agent mixed,trustee,"own + shown label, no lag",own_label,be generous,0.024171671882369582,0.014730075512221,0.03361326825251816,5.227910509467503e-07,1861,60
run,8-agent mixed,trustee,"own + shown label, no lag",shown_label,be cautious,-0.00935282160157523,-0.02183264373423766,0.0031270005310872,0.14186898438847806,1861,60
run,8-agent mixed,trustee,"own + shown label, no lag",shown_label,be generous,-0.0038052288395633194,-0.012011968407493339,0.004401510728366701,0.3634668644139466,1861,60
run,all settings,investor,"own + shown label, own lag",own_label,be cautious,-0.007675533638616625,-0.044166586469090295,0.02881551919185705,0.6801495052882854,3406,156
run,all settings,investor,"own + shown label, own lag",own_label,be generous,0.027040103480553603,0.00787196917108388,0.046208237790023324,0.005694339555805098,3406,156
run,all settings,investor,"own + shown label, own lag",shown_label,be cautious,-0.010249161517292747,-0.05396755535084907,0.03346923231626357,0.645885243777033,3406,156
run,all settings,investor,"own + shown label, own lag",shown_label,be generous,-0.008242015863578266,-0.02568545736484267,0.009201425637686136,0.3544034551434023,3406,156
run,all settings,investor,"own + shown label, own lag",coop_lag_same_role,,0.13396360156157347,0.0780505138716962,0.18987668925145074,2.653990152942102e-06,3406,156
run,all settings,investor,"own + shown label, no lag",own_label,be cautious,-0.01841425965267993,-0.05790031987859269,0.021071800573232834,0.360703183519398,3619,156
run,all settings,investor,"own + shown label, no lag",own_label,be generous,0.040334841966098205,0.019907217159251662,0.06076246677294475,0.00010883689238111015,3619,156
run,all settings,investor,"own + shown label, no lag",shown_label,be cautious,-0.009907916303449085,-0.05154600280975312,0.03173017020285496,0.640943725236907,3619,156
run,all settings,investor,"own + shown label, no lag",shown_label,be generous,-0.013823107753623859,-0.031431162237718156,0.0037849467304704384,0.1238875410115447,3619,156
run,all settings,trustee,"own + shown label, own lag",own_label,be cautious,-0.0013310059296989605,-0.01624228338041347,0.013580271521015552,0.8611191485924332,2861,156
run,all settings,trustee,"own + shown label, own lag",own_label,be generous,0.010942270271534847,0.004908487686148876,0.016976052856920817,0.0003788476066101329,2861,156
