child_family,marker_family,size,group,round,marker_rate_mean,marker_rate_sd,n_myths
Gemini,GPT,8,"mixed, shown same family",8,0.002891156462585034,0.003504786613451107,24
Gemini,GPT,8,"mixed, shown same family",9,0.0028571428571428576,0.0039947794688130036,20
Gemini,GPT,8,"mixed, shown same family",10,0.004489795918367347,0.004372052435622839,20
Gemini,GPT,8,"mixed, shown other family",2,0.009148486980999298,0.009088630840217259,58
Gemini,GPT,8,"mixed, shown other family",3,0.007389162561576355,0.006772157472939518,58
Gemini,GPT,8,"mixed, shown other family",4,0.008843537414965985,0.006669207052674917,54
Gemini,GPT,8,"mixed, shown other family",5,0.008022519352568614,0.00653085916295559,58
Gemini,GPT,8,"mixed, shown other family",6,0.007841031149301826,0.006462801482920336,38
Gemini,GPT,8,"mixed, shown other family",7,0.011428571428571425,0.009551248967233434,30
Gemini,GPT,8,"mixed, shown other family",8,0.009050576752440108,0.007835272136683122,46
Gemini,GPT,8,"mixed, shown other family",9,0.008,0.006847775279721609,50
Gemini,GPT,8,"mixed, shown other family",10,0.009469387755102043,0.0091987936060245,50
Gemini,GPT,8,"mixed, round 1 (nothing shown)",1,0.003731778425655977,0.004154502271617253,70
Gemini,Sonnet,2,homogeneous,1,0.004335260115606936,0.005586969173169138,20
Gemini,Sonnet,2,homogeneous,2,0.0008670520231213872,0.0021176158874712326,20
Gemini,Sonnet,2,homogeneous,3,0.0026011560693641614,0.004772126864057205,20
Gemini,Sonnet,2,homogeneous,4,0.0011560693641618496,0.002372204282277813,20
Gemini,Sonnet,2,homogeneous,5,0.001445086705202312,0.0025679864642735215,20
Gemini,Sonnet,2,homogeneous,6,0.0011560693641618496,0.002372204282277813,20
Gemini,Sonnet,2,homogeneous,7,0.0008670520231213872,0.0021176158874712326,20
Gemini,Sonnet,2,homogeneous,8,0.0011560693641618496,0.002372204282277813,20
Gemini,Sonnet,2,homogeneous,9,0.0017341040462427744,0.003301968616054794,20
Gemini,Sonnet,2,homogeneous,10,0.001445086705202312,0.0025679864642735215,20
Gemini,Sonnet,2,"mixed, shown other family",2,0.010115606936416182,0.007445416350659355,12
Gemini,Sonnet,2,"mixed, shown other family",3,0.011078998073217725,0.007580185956945124,12
Gemini,Sonnet,2,"mixed, shown other family",4,0.013487475915221578,0.006674569586007233,12
Gemini,Sonnet,2,"mixed, shown other family",5,0.013487475915221578,0.007923056842108,12
